City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Sabha,LY,2022-11-08 23:11:18,27.0377,14.4283,62.17,52,0,6.89
119,Khatanga,RU,2022-11-08 23:09:11,71.9667,102.5,-15.83,100,99,6.02
120,Pangnirtung,CA,2022-11-08 23:11:19,66.1451,-65.7125,9.63,66,100,3.83
121,Biskamzha,RU,2022-11-08 23:11:19,53.4497,89.5272,20.93,99,97,1.5
122,Sobolevo,RU,2022-11-08 23:11:20,54.4299,31.8996,45.55,94,100,9.98
123,Drumheller,CA,2022-11-08 23:11:20,51.4617,-112.7101,-3.51,99,69,2.77
124,Porto Torres,IT,2022-11-08 23:11:20,40.835,8.3972,51.98,74,43,5.03
125,Cidreira,BR,2022-11-08 23:11:16,-30.1811,-50.2056,62.56,88,100,14.05
126,Wawa,NG,2022-11-08 23:11:21,9.9022,4.4192,78.06,40,30,2.64
127,Tarakan,ID,2022-11-08 23:11:21,3.3,117.6333,78.3,94,75,3.44
128,Chokurdakh,RU,2022-11-08 23:11:22,70.6333,147.9167,-2.85,98,99,8.32
129,Gaoyou,CN,2022-11-08 23:11:22,32.7858,119.4278,56.75,80,100,9.75
130,Perth,AU,2022-11-08 23:09:34,-31.9333,115.8333,64.67,86,75,5.75
131,Ahipara,NZ,2022-11-08 23:11:23,-35.1667,173.1667,65.28,77,44,9.55
132,Wana,PK,2022-11-08 23:11:23,32.2989,69.5725,54.07,67,8,3.0
133,Marsaxlokk,MT,2022-11-08 23:11:23,35.8419,14.5431,63.09,94,0,1.14
134,El Bagre,CO,2022-11-08 23:11:24,7.5927,-74.8086,75.49,98,98,1.07
135,Owando,CG,2022-11-08 23:12:24,-0.4819,15.8999,71.8,92,99,2.62
136,Grand Gaube,MU,2022-11-08 23:12:24,-20.0064,57.6608,72.37,72,82,3.0
137,Acari,PE,2022-11-08 23:12:25,-15.4311,-74.6158,71.73,63,0,5.03
138,Abha,SA,2022-11-08 23:10:53,18.2164,42.5053,55.65,82,0,0.0
139,Norman Wells,CA,2022-11-08 23:10:09,65.282,-126.8329,10.63,78,100,5.39
140,Singaparna,ID,2022-11-08 23:12:26,-7.3515,108.111,71.85,95,98,0.74
141,Mucurapo,TT,2022-11-08 23:12:26,10.6667,-61.5333,79.25,86,97,8.41
142,Esperance,AU,2022-11-08 23:12:26,-33.8667,121.9,59.94,74,100,6.98
143,San-Pedro,CI,2022-11-08 23:12:26,4.7485,-6.6363,78.03,84,25,6.33
144,Odweyne,SO,2022-11-08 23:12:27,9.4092,45.064,75.38,56,70,7.87
145,Kahului,US,2022-11-08 23:12:27,20.8947,-156.47,87.82,59,20,20.71
146,Bethel,US,2022-11-08 23:12:28,41.3712,-73.414,50.76,39,0,10.36
147,Cayenne,GF,2022-11-08 23:12:28,4.9333,-52.3333,75.24,94,0,1.14
148,Urozhaynoye,RU,2022-11-08 23:12:28,44.7883,44.9228,46.94,90,100,12.82
149,Katsuura,JP,2022-11-08 23:12:29,35.1333,140.3,60.26,62,52,9.42
150,Marsh Harbour,BS,2022-11-08 23:12:29,26.5412,-77.0636,76.78,85,99,36.19
151,Port-Gentil,GA,2022-11-08 23:12:29,-0.7193,8.7815,80.56,85,75,8.05
152,Lavrentiya,RU,2022-11-08 23:12:30,65.5833,-171.0,26.51,92,100,8.72
153,Ushtobe,KZ,2022-11-08 23:12:30,45.2514,77.9838,34.93,77,81,7.83
154,Dikson,RU,2022-11-08 23:12:30,73.5069,80.5464,4.44,96,94,5.73
155,Klaksvik,FO,2022-11-08 23:12:30,62.2266,-6.589,47.32,87,100,14.32
156,Belle Fourche,US,2022-11-08 23:12:31,44.6714,-103.8522,29.32,57,92,11.27
157,Rawson,AR,2022-11-08 23:12:31,-43.3002,-65.1023,74.12,39,68,15.59
158,La Peca,PE,2022-11-08 23:12:31,-5.6111,-78.435,79.32,56,34,5.12
159,Rio Gallegos,AR,2022-11-08 23:08:25,-51.6226,-69.2181,59.05,36,0,16.11
160,Praya,CV,2022-11-08 23:12:32,14.9215,-23.5087,77.0,71,82,12.84
161,Vanimo,PG,2022-11-08 23:12:32,-2.6741,141.3028,80.8,80,100,2.44
162,Svetlogorsk,BY,2022-11-08 23:12:32,52.6333,29.7333,43.0,94,75,7.0
163,Chenzhou,CN,2022-11-08 23:12:32,25.8,113.0333,67.77,85,52,2.53
164,Keshorai Patan,IN,2022-11-08 23:12:33,25.3,75.9333,70.65,55,44,3.29
165,Karratha,AU,2022-11-08 23:12:33,-20.7377,116.8463,70.47,48,0,13.27
166,Kisangani,CD,2022-11-08 23:12:33,0.5167,25.2,68.32,96,100,2.66
167,North Platte,US,2022-11-08 23:08:01,41.1239,-100.7654,75.09,51,0,17.27
168,Pochutla,MX,2022-11-08 23:12:34,15.7432,-96.4661,85.82,79,76,4.61
169,Te Anau,NZ,2022-11-08 23:12:34,-45.4167,167.7167,63.91,53,100,3.15
170,Bestobe,KZ,2022-11-08 23:12:34,52.4994,73.0975,25.21,85,88,9.75
171,Torbay,CA,2022-11-08 23:12:34,47.6666,-52.7314,41.58,83,100,26.46
172,Victoria,HK,2022-11-08 23:09:23,22.2855,114.1577,72.25,87,98,5.99
173,Hithadhoo,MV,2022-11-08 23:12:35,-0.6,73.0833,81.32,78,98,17.02
174,Panormos,GR,2022-11-08 23:12:35,35.4182,24.6909,62.46,70,1,6.85
175,Halifax,CA,2022-11-08 23:11:09,44.6453,-63.5724,43.5,50,39,28.01
176,Pasighat,IN,2022-11-08 23:12:35,28.0667,95.3333,62.82,78,3,3.11
177,Portland,US,2022-11-08 23:11:39,45.5234,-122.6762,50.52,70,75,20.71
178,Luderitz,NA,2022-11-08 23:13:36,-26.6481,15.1594,59.22,84,70,10.29
179,Isabela,PH,2022-11-08 23:13:36,6.7085,121.9711,80.65,82,70,0.87
180,Yuancheng,CN,2022-11-08 23:13:36,36.652,107.7896,46.35,88,98,4.92
181,Alice Springs,AU,2022-11-08 23:13:37,-23.7,133.8833,81.95,32,75,19.57
182,Hlukhiv,UA,2022-11-08 23:13:37,51.6782,33.9162,40.08,94,55,6.71
183,Cherskiy,RU,2022-11-08 23:13:37,68.75,161.3,-4.13,99,100,4.34
184,La Ronge,CA,2022-11-08 23:13:37,55.1001,-105.2842,13.82,91,100,6.73
185,Tuktoyaktuk,CA,2022-11-08 23:13:38,69.4541,-133.0374,12.0,86,100,7.07
186,Baruun-Urt,MN,2022-11-08 23:13:38,46.6806,113.2792,27.82,64,98,5.86
187,Puerto Leguizamo,CO,2022-11-08 23:13:38,-0.1934,-74.7819,79.63,74,77,1.7
188,Chuy,UY,2022-11-08 23:09:22,-33.6971,-53.4616,57.49,86,0,6.8
189,Uyuni,BO,2022-11-08 23:13:39,-20.4597,-66.825,52.2,17,0,4.61
190,Mount Isa,AU,2022-11-08 23:13:39,-20.7333,139.5,89.37,37,5,9.22
191,Solnechnyy,RU,2022-11-08 23:13:39,50.7214,136.6319,26.28,64,76,7.34
192,Mayo,US,2022-11-08 23:13:39,38.8876,-76.5119,57.18,56,0,5.75
193,Bandarban,BD,2022-11-08 23:13:40,22.1965,92.2262,65.23,99,23,2.1
194,Murud,IN,2022-11-08 23:13:40,18.3258,72.965,73.51,63,4,4.83
195,Anloga,GH,2022-11-08 23:13:40,5.7947,0.8973,81.63,77,61,12.71
196,Kerikeri,NZ,2022-11-08 23:13:41,-35.2268,173.9474,68.92,83,34,1.01
197,Port Hedland,AU,2022-11-08 23:13:41,-20.3167,118.5667,71.65,73,0,12.66
198,Arbuzynka,UA,2022-11-08 23:13:41,47.9097,31.3196,41.86,64,19,2.8
199,Lorengau,PG,2022-11-08 23:13:42,-2.0226,147.2712,83.34,76,99,4.83
200,Verkhnevilyuysk,RU,2022-11-08 23:13:42,63.4453,120.3167,-7.65,98,95,1.23
201,Nikolskoye,RU,2022-11-08 23:13:42,59.7035,30.7861,44.49,90,98,7.16
202,Sioux Lookout,CA,2022-11-08 23:13:42,50.1001,-91.917,36.0,70,100,13.29
203,Punta De Piedra,VE,2022-11-08 23:13:43,7.6176,-71.4916,75.83,91,93,0.6
204,Yaan,NG,2022-11-08 23:13:43,7.3833,8.5667,76.17,53,97,5.55
205,Lleida,ES,2022-11-08 23:13:43,41.6167,0.6167,63.68,82,0,3.44
206,Saryozek,KZ,2022-11-08 23:13:44,44.3583,77.9753,30.72,83,100,3.98
207,Hualmay,PE,2022-11-08 23:13:44,-11.0964,-77.6139,65.34,79,11,8.79
208,Tura,IN,2022-11-08 23:13:44,25.5198,90.2201,64.04,90,0,3.96
209,Riberalta,BO,2022-11-08 23:13:44,-10.9833,-66.1,89.8,58,20,0.0
210,Leh,IN,2022-11-08 23:13:45,34.1667,77.5833,21.38,62,6,1.07
211,Seddon,AU,2022-11-08 23:13:45,-37.8068,144.8916,80.15,59,20,20.71
212,Mahebourg,MU,2022-11-08 23:13:45,-20.4081,57.7,72.25,75,77,9.26
213,Airai,TL,2022-11-08 23:09:09,-8.9266,125.4092,66.87,69,68,1.14
214,Worthington,US,2022-11-08 23:12:29,40.0931,-83.018,55.35,51,0,9.22
215,Mudanya,TR,2022-11-08 23:13:46,40.3753,28.8822,50.47,74,19,4.36
216,Kruisfontein,ZA,2022-11-08 23:13:46,-34.0033,24.7314,63.88,80,84,5.17
217,San Juan,AR,2022-11-08 23:13:46,-31.5375,-68.5364,84.24,24,95,18.32
218,Taldan,RU,2022-11-08 23:13:46,53.6667,124.8,16.21,78,10,8.75
219,Amahai,ID,2022-11-08 23:13:47,-3.3333,128.9167,80.65,80,100,2.8
220,Maldonado,UY,2022-11-08 23:11:59,-34.6667,-54.9167,62.22,86,0,9.24
221,Khani,GE,2022-11-08 23:13:47,41.9563,42.9566,44.17,79,89,2.57
